query_spectrum_nr,ms2query_model_prediction,precursor_mz_difference,precursor_mz_query_spectrum,precursor_mz_analog,inchikey,analog_compound_name,smiles,retention_time,feature_id,cf_kingdom,cf_superclass,cf_class,cf_subclass,cf_direct_parent,npc_class_results,npc_superclass_results,npc_pathway_results
52,0.8917,0.0015,761.3015,761.3000,WKGYNBDVOPHKOW,terracinolide C,O[C@@H]1[C@@]([C@@H](OC2=O)[C@](CC2)(OC(C)=O)[C@H](OC(C(C)C)=O)[C@@H](OC(C)=O)[C@@H](OC(C)=O)C(C)(C)/C=C/[C@H](C)C3=O)([H])[C@]3(OC(C)=O)C[C@]1(OC(C)=O)C,591.1690,90,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
53,0.5429,123.0535,790.3635,667.3100,DAAUVFZUXIGOCK,Pyoverdin E,CC(C1C(=O)NC(C(=O)NCCCCC(C(=O)NC(C(=O)N1)CCCN(C=O)O)NC(=O)C(CCCN(C=O)O)NC(=O)C(CO)NC(=O)C(CCCN=C(N)N)NC(=O)C(CO)NC(=O)C2CCNC3=C(C=C4C=C(C(=O)C=C4N23)O)NC(=O)CCC(=O)N)C(C)O)O,591.8680,91,,,,,,Cyclic peptides,Oligopeptides,Amino acids and Peptides
54,0.7205,108.0840,739.3180,631.2340,RLIACMHWGOIUBV,"3,5,7,8,15-pentaacetoxy-2-hydroxy-9,14-dioxojatropha-6(17),11E-diene",C=C([C@]1([H])OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)C(C(C)(C)/C=C/[C@@H](C)C([C@]2(OC(C)=O)[C@]1([H])[C@@H](OC(C)=O)[C@](C)(O)C2)=O)=O,592.7290,92,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
55,0.8240,82.0257,711.3203,793.3460,IUQRTVVZUXBHMO,euphodendroidin M,C[C@@]1(OC(C)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C(C)C)=O)C([C@@H]2OC(C(C)C)=O)=C)=O)[C@]2([H])[C@H]1OC(C3=CC=CC=C3)=O,601.8020,95,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
56,0.8426,0.0141,793.3269,793.3410,USUPWKOUEKWYER,euphodendroidin K,C[C@@]1(OC(C)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C2=CC=CC=C2)=O)C([C@@H]3OC(C(C)C)=O)=C)=O)[C@]3([H])[C@H]1OC(C(C)C)=O,600.0240,96,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
57,0.7478,437.1480,404.1700,841.3180,VVIZBYAUHQFAHF,euphodendroidin Q,C[C@@]1(OC(C2=CN=CC=C2)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C3=CN=CC=C3)=O)[C@H](OC(C)=O)[C@@H](OC(C4=CC=CC=C4)=O)C([C@@H]5OC(C)=O)=C)=O)[C@]5([H])[C@H]1OC(C)=O,605.9690,98,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
58,0.8426,21.0300,772.3170,793.3470,USUPWKOUEKWYER,euphodendroidin K,C[C@@]1(OC(C)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C2=CC=CC=C2)=O)C([C@@H]3OC(C(C)C)=O)=C)=O)[C@]3([H])[C@H]1OC(C(C)C)=O,607.4790,99,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
59,0.6611,95.9376,722.3136,626.3759,FFVWTCUZUPVJAB,NCGC00381061-01,CCC(C)C1NC(=O)C2C(C)CCN2C(=O)C(CC(O)CO)OC(=O)CCNC(=O)C(C)N(C)C(=O)C(C(C)C)N(C)C1=O,611.4490,101,,,,,,Cyclic peptides; Depsipeptides,Oligopeptides,Amino acids and Peptides; Polyketides
60,0.8187,4.1189,664.3121,668.4310,KYJMIMWHTSJVQB,Nodulisporic Acid C,CC(=CCC1=C2C(=CC3=C1[C@H]([C@H]4C3=CC(OC4(C)C)(C)C)O)C5=C(N2)[C@]6([C@H](C5)CC[C@@H]7[C@@]6(CC[C@@H]([C@@]7(C)/C=C/C=C(\C)/C(=O)O)O)C)C)C,611.7340,102,,,,,,Indole-Diterpenoid alkaloids (Penitrems),Tryptophan alkaloids,Alkaloids; Terpenoids
61,0.3661,130.0061,305.1564,435.1625,RMFDCHYDPYVNFA,"4-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypentan-2-yl (E)-3-(4-hydroxyphenyl)prop-2-enoate",CC(CC(C)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)OC(=O)/C=C/c1ccc(O)cc1,615.7450,106,,,,,,Cinnamic acids and derivatives,Phenylpropanoids (C6-C3),Shikimates and Phenylpropanoids
62,0.8217,3.9586,595.2856,591.3270,MXLZHQOOQIUQGO,"""12b-O-[deca-2Z,4E-dienoyl]-13_-isobutyroyloxy-4b-deoxyphorbol """,[H][C@]12[C@]3([H])C=C(CO)C[C@]4([H])C(C(C)=C[C@@]4([H])[C@@]3(O)[C@H](C)[C@@H](OC(/C=C\C=C\CCCCC)=O)[C@@]1(OC(C(C)C)=O)C2(C)C)=O,619.4290,107,,,,,,Tetracyclic diterpenoids; Tigliane diterpenoids,Diterpenoids,Terpenoids
63,0.6649,76.0144,747.2814,671.2670,OACSANJOUKCFPQ,"3,5,7,15-tetraacetoxy-2-hydroxy-8-tigloyloxy-9,14-dioxojatropha-6(17),11E-diene",C=C([C@@H]1OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(/C(C)=C/C)=O)C(C(C)(C)/C=C/[C@@H](C)C([C@]2(OC(C)=O)[C@]1([H])[C@@H](OC(C)=O)[C@](C)(O)C2)=O)=O,622.8730,110,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
64,0.8966,0.0015,713.2765,713.2780,UKVKACNHLXTJKA,"2,3,5,7,15-pentaacetoxy-8-tigloyloxy-9,14-dioxojatropha-6(17),11E-diene",C=C(C1OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(/C(C)=C/C)=O)C(C(C)(C)/C=C/[C@@H](C)C([C@]2(OC(C)=O)[C@]1([H])[C@@H](OC(C)=O)[C@](C)(OC(C)=O)C2)=O)=O,623.4590,111,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Jatrophane and cyclojatrophane diterpenoids,Jatrophane diterpenoids,Diterpenoids,Terpenoids
65,0.8226,32.0049,705.3101,737.3150,STLFVIAKHLLGHJ,euphodendroidin B,C[C@@]1(OC(C)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C2=CC=CC=C2)=O)C([C@@H]3OC(C(CC)C)=O)=C)=O)[C@]3([H])[C@H]1O,630.4350,115,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
66,0.8226,1.0554,758.3344,757.2790,FAUWZNGPMHRLMW,euphodendroidin N,C[C@@]1(OC(C)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C2=CC=CC=C2)=O)C([C@@H]3OC(C4=CC=CC=C4)=O)=C)=O)[C@]3([H])[C@H]1O,628.8490,118,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
67,0.8217,82.0025,577.2645,659.2670,NLKSLCYYSLLAMB,"3,5,7,15-tetraacetoxy-2-hydroxy-8-isobutyroyloxy-9,14-dioxojatropha-6(17),11E-diene (2)",C=C([C@@H]1OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C(C)C)=O)C(C(C)(C)/C=C/[C@@H](C)C([C@]2(OC(C)=O)[C@]1([H])[C@@H](OC(C)=O)[C@](C)(O)C2)=O)=O,645.1160,121,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
68,0.7484,172.0202,785.3252,613.3050,YMFYPHGOLKNWQN,Syringomycin E,CCCCCCCCC(CC(=O)N[C@H]1COC(=O)[C@@H](NC(=O)[C@H](NC(=O)/C(=C/CC)/NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC1=O)CO)CCN)CCN)CCCN=C(N)N)CC2=CC=CC=C2)C(C(=O)O)O)[C@@H](CCl)O)O,637.7160,123,,,,,,Cyclic peptides; Depsipeptides; Lipopeptides,Oligopeptides,Amino acids and Peptides; Polyketides
69,0.8504,84.0057,637.2827,553.2770,AKFIXMYXISUTAF,"(1bS,4aR,7bS,8R,9R,9aS)-4a,7b-Dihydroxy-3-(hydroxymethyl)-1,1,6,8-tetramethyl-9a-[(2-methylbutanoyl)oxy]-5-oxo-1a,1b,4,4a,5,7a,7b,8,9,9a-decahydro-1H-cyclopropa[3,4]benzo[1,2-e]azulen-9-yl (2E)-2-methyl-2-butenoate",CCC(C)C(=O)O[C@@]12[C@H](OC(=O)\C(C)=C\C)[C@@H](C)[C@@]3(O)[C@@H](\C=C(CO)/C[C@@]4(O)C3\C=C(C)/C4=O)C1C2(C)C,646.2340,124,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Phorbol esters,Tetracyclic diterpenoids; Tigliane diterpenoids,Diterpenoids,Terpenoids
70,0.8226,46.0221,719.2879,765.3100,ZRMFMDZIHZKFHY,euphodendroidin L,C[C@@]1(OC(C)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C2=CC=CC=C2)=O)C([C@@H]3OC(C(C)C)=O)=C)=O)[C@]3([H])[C@H]1OC(C)=O,642.4360,126,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Jatrophane and cyclojatrophane diterpenoids,Jatrophane diterpenoids,Diterpenoids,Terpenoids
71,0.6843,0.0027,688.3327,688.3300,RIPYIJVYDYCPKW,3-Acetylaconitine,O=C(OC1C2C3CC1(O)C(OC)C(O)C2(OC(=O)C)C4C(OC)C5C6(COC)CN(CC)C4C35C(OC)CC6OC(=O)C)C=7C=CC=CC7,649.1690,130,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Aconitane-type diterpenoid alkaloids,Terpenoid alkaloids,Pseudoalkaloids,Alkaloids; Terpenoids
72,0.7471,125.0427,722.3127,597.2700,ONCMJSZOSXHIGN,"(3S,4S,21R)-14-Ethyl-9-(hydroxymethyl)-21-(methoxycarbonyl)-4,8,13,18-tetramethyl-20-oxo-3-phorbinepropanoic acid",OC(CC[C@H]1[C@@H](C2=N/C1=C([C@@H](C(OC)=O)C3=O)\C4=C3C(C)=C(N4)/C=C5N=C(C(C)=C\5CC)/C=C(N/6)/C(CO)=C(C6=C\2)C)C)=O,649.7250,132,,,,,,Carbazole alkaloids,Tryptophan alkaloids,Alkaloids
73,0.6611,22.1364,677.2564,699.3928,QGQSOVLOEOVNRW,"[(2R,3R,4S,5S,6R)-3-acetyloxy-2-(acetyloxymethyl)-5-hexanoyloxy-6-[(2S,3R)-2,3,4-trihydroxybutoxy]oxan-4-yl] tetradecanoate",CCCCCCCCCCCCCC(=O)O[C@H]1[C@@H]([C@H](O[C@H]([C@H]1OC(=O)CCCCC)OC[C@@H]([C@@H](CO)O)O)COC(=O)C)OC(=O)C,659.7020,133,Organic compounds,Lipids and lipid-like molecules,Saccharolipids,,Saccharolipids,Fatty acyl glycosides of mono- and disaccharides,Fatty acyl glycosides,Fatty acids
74,0.7484,412.1346,397.1794,809.3140,GKWSTXDESFGCFI,Arenimycin B,C[C@H]1[C@H](CC[C@H](O1)O[C@H]2[C@@H](O[C@@H]([C@@H]([C@H]2O)OC)NC3=CC(=O)C4=C(C5=C(C=C4C3=O)C(=O)[C@@]6(C7=C(CC[C@@]6(C5=O)OC)C=C(C(=C7O)C(=O)OC)C)O)O)C)N(C)C,652.1930,134,,,,,,,Polycyclic aromatic polyketides,Polyketides
75,0.4589,259.1719,664.3119,405.1400,MQLSOVRLZHTATK,Secoxyloganin,O=C(O)CC1C(=COC(OC2OC(CO)C(O)C(O)C2O)C1C=C)C(=O)OC,667.5130,135,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Terpene glycosides,Terpene glycosides,Secoiridoid monoterpenoids,Monoterpenoids,Terpenoids
76,0.7484,336.1208,421.1632,757.2840,FAUWZNGPMHRLMW,euphodendroidin N,C[C@@]1(OC(C)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C2=CC=CC=C2)=O)C([C@@H]3OC(C4=CC=CC=C4)=O)=C)=O)[C@]3([H])[C@H]1O,670.2800,139,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
77,0.8960,0.0041,841.3139,841.3180,VVIZBYAUHQFAHF,euphodendroidin Q,C[C@@]1(OC(C2=CN=CC=C2)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C3=CN=CC=C3)=O)[C@H](OC(C)=O)[C@@H](OC(C4=CC=CC=C4)=O)C([C@@H]5OC(C)=O)=C)=O)[C@]5([H])[C@H]1OC(C)=O,665.3510,140,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
78,0.8226,42.0727,747.2583,789.3310,AWVNBSKIKNPOBG,terracinolide J,O[C@]12[C@@]([C@@H](OC(C)=O)[C@@](OC(C)=O)(C)C2)([H])[C@@H](OC3=O)[C@](CC3)(OC(C(C)C)=O)[C@H](OC(C(C)C)=O)[C@@H](OC(C)=O)[C@@H](OC(C)=O)C(C)(C)/C=C/[C@H](C)C1=O,674.7200,141,Organic compounds,Organoheterocyclic compounds,Lactones,Delta valerolactones,Delta valerolactones,Jatrophane diterpenoids,Diterpenoids,Terpenoids
79,0.4677,126.0676,547.2276,421.1600,GHCZYXUOYFOXIP,Pomiferin,O=C1C(=COC=2C=3C=CC(OC3C(=C(O)C12)CC=C(C)C)(C)C)C=4C=CC(O)=C(O)C4,674.3100,145,Organic compounds,Phenylpropanoids and polyketides,Isoflavonoids,Isoflavans,6-prenylated isoflavanones,Isoflavanones; Isoflavones,Isoflavonoids,Shikimates and Phenylpropanoids
80,0.7484,315.1200,730.3400,415.2200,IVNAFOBCUPWDFM,bulbiferamide D,O=C(N[C@@H](C(C)C)C(N[C@@H](CCCNC(N)=N)C(N/C1=C\C)=O)=O)[C@H](CC2=CN(C1=O)C3=CC=CC=C23)NC([C@H](CC(C)C)NC(N[C@@H](CC4=CC=CC=C4)C(O)=O)=O)=O,677.8220,147,,,,,,Cyclic peptides,Oligopeptides,Amino acids and Peptides
81,0.8226,5.9876,717.3074,723.2950,IIUWCHJZJFSKMD,euphodendroidin F,C[C@@]1(O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C2=CC=CC=C2)=O)C([C@@H]3OC(C(C)C)=O)=C)=O)[C@]3([H])[C@H]1OC(C)=O,683.5820,148,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Jatrophane and cyclojatrophane diterpenoids,Jatrophane diterpenoids,Diterpenoids,Terpenoids
82,0.6611,210.2261,827.3361,617.1100,PXGWEUQZDRUMRE,2''-O-Galloylhyperin,O=C(OC1C(O)C(O)C(OC1OC=2C(=O)C=3C(O)=CC(O)=CC3OC2C=4C=CC(O)=C(O)C4)CO)C5=CC(O)=C(O)C(O)=C5,687.4300,150,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid-3-O-glycosides,Flavonols,Flavonoids,Shikimates and Phenylpropanoids
83,0.4653,150.9817,414.1713,565.1530,VJPARTQOILTISJ,6-methoxy-2-oxo-2H-chromen-7-yl 2-O-acetyl-6-O-(6-deoxyhexopyranosyl)hexopyranoside CollisionEnergy:102040,COc1cc2ccc(=O)oc2cc1OC1OC(COC2OC(C)C(O)C(O)C2O)C(O)C(O)C1OC(C)=O,684.1940,151,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives,Coumarin glycosides,Coumarin glycosides,Simple coumarins,Coumarins,Shikimates and Phenylpropanoids
84,0.8226,49.0186,744.3184,793.3370,USUPWKOUEKWYER,euphodendroidin K,C[C@@]1(OC(C)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C2=CC=CC=C2)=O)C([C@@H]3OC(C(C)C)=O)=C)=O)[C@]3([H])[C@H]1OC(C(C)C)=O,688.3010,152,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
85,0.7184,58.3985,766.3405,824.7390,AKFVOKPQHFBYCA,Siomycin_A/Sporangiomycin,O=C(C(NC(C1=CSC([C@]2(CCC(C3=NC(C(NC(C(NC(C(N)=O)=C)=O)=C)=O)=CS3)=N[C@@H]2C4=CSC(C(NC(C5=CSC(C(NC6=O)[C@@](C)([C@H](O)C)O)=N5)=O)[C@H](OC(C7=NC8=C(C([C@H](O)C)=C7)C=C[C@@H](N[C@H](C(NC(C(NC(C(N[C@]9(C)[H])=O)=C)=O)=C)=O)C(C)C)[C@@H]8O)=O)C)=N4)NC9=O)=N1)=O)C(O)C)N/C(C%10=N[C@@H]6CS%10)=C\C,694.5380,153,,,,,,,,
86,0.8226,87.9950,669.2890,757.2840,FAUWZNGPMHRLMW,euphodendroidin N,C[C@@]1(OC(C)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C2=CC=CC=C2)=O)C([C@@H]3OC(C4=CC=CC=C4)=O)=C)=O)[C@]3([H])[C@H]1O,693.3810,154,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
87,0.8426,84.0627,709.2833,793.3460,IUQRTVVZUXBHMO,euphodendroidin M,C[C@@]1(OC(C)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C(C)C)=O)C([C@@H]2OC(C(C)C)=O)=C)=O)[C@]2([H])[C@H]1OC(C3=CC=CC=C3)=O,694.6680,155,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
88,0.8226,41.0255,764.3245,723.2990,DMMVPIYJYFCXOA,euphodendroidin A,C[C@]1(C[C@](C([C@H](/C=C/C(C)([C@@H]([C@@H]([C@H](C([C@@H]2OC(C3=CC=CC=C3)=O)=C)OC(C(C)C)=O)O)OC(C)=O)C)C)=O)([C@@]2([C@H]1OC(C)=O)[H])O)OC(C)=O,696.5590,156,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Jatrophane and cyclojatrophane diterpenoids,Jatrophane diterpenoids,Diterpenoids,Terpenoids
89,0.7199,140.1267,419.1933,559.3200,YDEXBRFCPBEZRK,[Gln1-Val9]-moroidin-[QLLVWRAH],NC(C(NC(C(NC(CC(C)C)C(NC(C(C)C)C(NC(C(NC(C(NC(C)C(NC(CC1=CN2C=N1)C(NC(C(C)C)C(O)=O)=O)=O)=O)CCCNC(N)=N)=O)CC3=C2NC4=C3C=CC5=C4)=O)=O)=O)C5C(C)C)=O)CCC(N)=O,700.7390,158,,,,,,Cyclic peptides,Oligopeptides,Amino acids and Peptides
90,0.6649,136.1263,849.3437,985.4700,KXSGCAPYMUMVSH,Molassamide,CCCC(NC(C(NC(C(NC1C(C)OC(C(C(C)C)NC(C(CC2=CC=C(O)C=C2)N(C)C(C(CC3=CC=CC=C3)N4C(O)CCC(NC(/C(NC1=O)=C\C)=O)C4=O)=O)=O)=O)=O)C(O)C)=O)C)=O,699.4170,159,,,,,,Ahp-containing cyclodepsipeptides; Cyclic peptides; Depsipeptides,Oligopeptides,Amino acids and Peptides; Polyketides
91,0.8226,20.0420,717.2730,737.3150,STLFVIAKHLLGHJ,euphodendroidin B,C[C@@]1(OC(C)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C2=CC=CC=C2)=O)C([C@@H]3OC(C(CC)C)=O)=C)=O)[C@]3([H])[C@H]1O,701.7850,162,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
92,0.6649,458.1540,425.1750,883.3290,CRXDBBAZDKEROX,euphodendroidin R,C[C@@]1(OC(C2=CN=CC=C2)=O)C[C@](OC(C)=O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C3=CN=CC=C3)=O)[C@H](OC(C)=O)[C@@H](OC(C4=CC=CC=C4)=O)C([C@@H]5OC(C)=O)=C)=O)[C@]5([H])[C@H]1OC(C)=O,702.7150,164,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
93,0.8226,60.0009,663.2981,723.2990,IIUWCHJZJFSKMD,euphodendroidin F,C[C@@]1(O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C2=CC=CC=C2)=O)C([C@@H]3OC(C(C)C)=O)=C)=O)[C@]3([H])[C@H]1OC(C)=O,710.9630,166,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Jatrophane and cyclojatrophane diterpenoids,Jatrophane diterpenoids,Diterpenoids,Terpenoids
94,0.9225,0.0005,736.2965,736.2970,PLOQCCJPPQJNFO,euphodendroidin P,C[C@@]1(O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C2=CC=CN=C2)=O)C([C@@H]3OC(C4=CC=CC=C4)=O)=C)=O)[C@]3([H])[C@H]1OC(C)=O,716.1710,167,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
95,0.7484,286.2680,805.3220,1091.5900,ONUGZTDXHZKRLV,Stenothricin-GNPS 2,C[C@H]1OC(CN(C([C@@H](NC([C@@H](NC([C@@H](NC(/C(NC([C@@H](NC([C@@H](NC([C@H]1NC([C@@H](NC(CC(CCCCCCCCC(CC)C)=O)=O)CS(O)(=O)=O)=O)=O)C[OH2+])=O)CN)=O)=C/C)=O)C(C)C)=O)CO)=O)CO)=O)C)=O,713.5420,168,,,,,,,,
96,0.8226,65.0188,728.3272,793.3460,IUQRTVVZUXBHMO,euphodendroidin M,C[C@@]1(OC(C)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C(C)C)=O)C([C@@H]2OC(C(C)C)=O)=C)=O)[C@]2([H])[C@H]1OC(C3=CC=CC=C3)=O,718.6220,174,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
97,0.5251,724.0883,786.3317,1510.4200,STTJBBWRTRUGII,Siomycin_B,O=C(C(NC(C1=CSC([C@]2(CCC(C3=NC(C(N)=O)=CS3)=N[C@@H]2C4=CSC(C(NC(C5=CSC(C(NC6=O)[C@@](C)([C@H](O)C)O)=N5)=O)[C@H](OC(C7=NC8=C(C([C@H](O)C)=C7)C=C[C@@H](N[C@H](C(NC(C(NC(C(N[C@]9(C)[H])=O)=C)=O)=C)=O)C(C)C)[C@@H]8O)=O)C)=N4)NC9=O)=N1)=O)C(O)C)N/C(C%10=N[C@@H]6CS%10)=C\C,728.2320,178,,,,,,,,
98,0.8226,62.0194,703.2906,765.3100,ZRMFMDZIHZKFHY,euphodendroidin L,C[C@@]1(OC(C)=O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C2=CC=CC=C2)=O)C([C@@H]3OC(C(C)C)=O)=C)=O)[C@]3([H])[C@H]1OC(C)=O,723.9450,179,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Jatrophane and cyclojatrophane diterpenoids,Jatrophane diterpenoids,Diterpenoids,Terpenoids
99,0.7592,31.0334,629.2554,598.2220,BNZPDENCVXRJMM,,Clc1cccc(c1)C2N3[C@@H](Cc4c2[nH]c5ccccc45)C(=O)N(C3=O)c6ccccc6C(=O)NCCCN7CCOCC7,729.4450,182,,,,,,Carboline alkaloids,Tryptophan alkaloids,Alkaloids
100,0.5251,476.1128,410.1582,886.2710,XFANDVLPSBUGKD,Carbamoyl-Albicidn,C/C(C(NC1=CC=C(C(NC(CC#N)C(NC2=CC=C(C(NC3=CC=C(C(NC4=CC=C(C(O)=O)C(O)=C4OC)=O)C(O)=C3OC)=O)C=C2)=O)=O)C=C1)=O)=C\C5=CC=C(OC(N)=O)C=C5,729.8100,184,,,,,,,,
101,0.8226,83.0190,802.3270,719.3080,YTZALCGQUPRCGW,Verteporfin (Visudyne),C12NC(C=C3N=C(C=C4NC(=CC5=NC(=C1)C6[C@]5([C@@H](C(=CC=6)C(=O)OC)C(OC)=O)C)C(=C4CCC(OC)=O)C)C(=C3C)CCC(O)=O)=C(C=2C)C=C,724.6220,186,,,,,,Carboline alkaloids,Tryptophan alkaloids,Alkaloids
102,0.7064,53.9690,577.2650,631.2340,RLIACMHWGOIUBV,"3,5,7,8,15-pentaacetoxy-2-hydroxy-9,14-dioxojatropha-6(17),11E-diene",C=C([C@]1([H])OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)C(C(C)(C)/C=C/[C@@H](C)C([C@]2(OC(C)=O)[C@]1([H])[C@@H](OC(C)=O)[C@](C)(O)C2)=O)=O,731.5230,193,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
103,0.8626,65.9948,619.2718,553.2770,AKFIXMYXISUTAF,"(1bS,4aR,7bS,8R,9R,9aS)-4a,7b-Dihydroxy-3-(hydroxymethyl)-1,1,6,8-tetramethyl-9a-[(2-methylbutanoyl)oxy]-5-oxo-1a,1b,4,4a,5,7a,7b,8,9,9a-decahydro-1H-cyclopropa[3,4]benzo[1,2-e]azulen-9-yl (2E)-2-methyl-2-butenoate",CCC(C)C(=O)O[C@@]12[C@H](OC(=O)\C(C)=C\C)[C@@H](C)[C@@]3(O)[C@@H](\C=C(CO)/C[C@@]4(O)C3\C=C(C)/C4=O)C1C2(C)C,730.6740,197,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Phorbol esters,Tetracyclic diterpenoids; Tigliane diterpenoids,Diterpenoids,Terpenoids
104,0.9474,0.0002,761.2992,761.2990,WKGYNBDVOPHKOW,terracinolide C,O[C@@H]1[C@@]([C@@H](OC2=O)[C@](CC2)(OC(C)=O)[C@H](OC(C(C)C)=O)[C@@H](OC(C)=O)[C@@H](OC(C)=O)C(C)(C)/C=C/[C@H](C)C3=O)([H])[C@]3(OC(C)=O)C[C@]1(OC(C)=O)C,729.9670,203,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
105,0.8226,58.9956,679.2934,738.2890,FAIPNHMNCVVHLA,"5,15-O-diacetyl-14-O-benzoyl-7-O-nicotinyl-3-O-propanoylmyrsinol",C[C@H]1C[C@@]2(OC(C)=O)[C@]([C@@H](OC(C)=O)[C@@]([C@H](OC(C3=CC=CN=C3)=O)C=C[C@@H]4C(C)=C)(CO5)[C@]4([H])[C@]5(C)[C@@H]2OC(C6=CC=CC=C6)=O)([H])[C@H]1OC(CC)=O,732.4580,204,,,,,,Myrsinane diterpenoids,Diterpenoids,Terpenoids
