query_spectrum_nr,ms2query_model_prediction,precursor_mz_difference,precursor_mz_query_spectrum,precursor_mz_analog,inchikey,analog_compound_name,smiles,retention_time,feature_id,cf_kingdom,cf_superclass,cf_class,cf_subclass,cf_direct_parent,npc_class_results,npc_superclass_results,npc_pathway_results
240,0.8919,0.0001,467.2169,467.2170,RFURXZCEEFOOKK,"""7-adamantanyl-1,3-dimethyl-8-(2-pyridylmethyl)-1,3,5-trihydro-4-imidazolino[1, 2-h]purine-2,4-dione CollisionEnergy:205060""",Cn1c(=O)c2c(nc3n(Cc4ccccn4)c(C45CC6CC(CC(C6)C4)C5)cn23)n(C)c1=O,411.2230,985,,,,,,Purine alkaloids,Pseudoalkaloids,Alkaloids
241,0.6649,29.9988,309.0872,339.0860,JKUJKKGMOZDDJV,O-Methylsterigmatocystin,COC1=CC=CC2=C1C(=O)C3=C(C=C4C(=C3O2)C5C=COC5O4)OC,406.1320,968,Organic compounds,Phenylpropanoids and polyketides,Sterigmatocystins,,Sterigmatocystins,Aflatoxins; Methyl xanthones,Chromanes; Xanthones,Polyketides
242,0.4648,8.9861,362.2081,353.2220,RRVQWUQWPISZCH,Pleiocarpinine,[H][C@]12C34CCC([C@]51CCN2CCC3)([C@H](C(OC)=O)C4)N(C)C6=C5C=CC=C6,254.2200,407,Organic compounds,Alkaloids and derivatives,Aspidofractine alkaloids,,Aspidofractine alkaloids,Aspidosperma type,Tryptophan alkaloids,Alkaloids
243,0.4677,63.0051,278.1016,341.1067,KEGRENGWTJNAKX,"N-CYCLOPROPYL-2-{7-METHYL-4-OXO-2-PHENYL-4H,5H-[1,3]THIAZOLO[4,5-D]PYRIDAZIN-5-YL}ACETAMIDE",Cc1nn(CC(=O)NC2CC2)c(=O)c2c1sc(-c1ccccc1)n2,247.4460,379,,,,,,,,Alkaloids
244,0.7210,59.9921,647.3119,707.3040,KYOXKUIYXAIFBB,euphodendroidin E,C[C@H]1C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C2=CC=CC=C2)=O)C([C@@H]3OC(C(C)C)=O)=C)=O)[C@]3([H])[C@H]1OC(C)=O,499.1870,1100,,,,,,Jatrophane diterpenoids,Diterpenoids,Terpenoids
245,0.6644,0.0124,449.1224,449.1100,JPUKWEQWGBDDQB,Astragalin,O=C1C(OC2OC(CO)C(O)C(O)C2O)=C(OC=3C=C(O)C=C(O)C13)C=4C=CC(O)=CC4,407.6990,974,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid-3-O-glycosides,Flavonols,Flavonoids,Shikimates and Phenylpropanoids
246,0.6611,48.0210,397.2130,445.2340,PYWOQXCBTDFULZ,"2-[(4-ethyl-8,8-dimethyl-2-oxo-9,10-dihydropyrano[2,3-h]chromen-5-yl)oxy]-N-(2-morpholin-4-ylethyl)acetamide""",CCc1cc(=O)oc2c3CCC(C)(C)Oc3cc(OCC(=O)NCCN4CCOCC4)c12,469.9060,1055,,,,,,Simple coumarins,Coumarins,Shikimates and Phenylpropanoids
247,0.3644,101.9891,243.1129,345.1020,WPRMOGULDVXBPX,"""methyl 4-[(2,9-dimethyl-6-oxohydropurin-8-ylthio)methyl]benzoate CollisionEnergy:205060""",COC(=O)c1ccc(CSc2nc3c(O)nc(C)nc3n2C)cc1,288.3160,557,,,,,,,,Alkaloids
248,0.4369,56.0870,362.2080,418.2950,SKQHGVYVWIKEKJ,Tyr-C16:1,O=C(NC(C(O)=O)CC1=CC=C(O)C=C1)CCCCCCCC=CCCCCCC,257.1730,423,,,,,,N-acyl amines,Fatty amides,Fatty acids
249,0.7776,0.0000,190.0860,190.0860,GOLXRNDWAUTYKT,indole-3-propionic acid CollisionEnergy:205060,C1=CC=C2C(=C1)C(=CN2)CCC(=O)O,228.5100,283,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives,Indolyl carboxylic acids and derivatives,Simple indole alkaloids,Tryptophan alkaloids,Alkaloids
250,0.8659,0.0027,655.2833,655.2860,XNBNKCLBGTWWSD,Coproporphyrin III,CC1=C(C2=CC3=C(C(=C(N3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C1N2)C)CCC(=O)O)C)CCC(=O)O)C)CCC(=O)O)CCC(=O)O,557.8680,1166,,,,,,,,Alkaloids
251,0.7513,0.0000,284.3312,284.3312,RLGQACBPNDBWTB,cetrimonium,CCCCCCCCCCCCCCCC[N+](C)(C)C,586.5020,1203,,,,,,,,
252,0.4341,462.2140,407.2760,869.4900,VNONINPVFQTJOC,Dioscin,OCC1OC(OC2CC3=CCC4C(CCC5(C)C4CC6OC7(OCC(C)CC7)C(C)C65)C3(C)CC2)C(OC8OC(C)C(O)C(O)C8O)C(O)C1OC9OC(C)C(O)C(O)C9O,674.7130,1244,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroidal glycosides,Steroidal saponins,Spirostane steroids,Steroids,Terpenoids
253,0.7592,51.1085,269.1135,320.2220,BPZWMTJHFOPXCT,Phe-C10:0,CCCCCCCCCC(NC(C(O)=O)CC1=CC=CC=C1)=O,172.6640,166,,,,,,N-acyl amines,Fatty amides,Fatty acids
254,0.6611,82.0421,221.1899,303.2320,NLUNAYAEIJYXRB,"8S-Hydroxy-5Z,9E,11Z,14Z-eicosatetraenoic acid",CCCCC/C=C\C/C=C\C=C\[C@H](C/C=C\CCCC(=O)O)O,375.0720,908,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,Hydroxyeicosatetraenoic acids,Hydroxy-hydroperoxyeicosatetraenoic acids,Eicosanoids,Fatty acids
255,0.7721,0.0003,177.0657,177.0660,QXGGDTNBLBJSIJ,2-(hydroxymethyl)-4(3H)-quinazolinone,C1=CC=C2C(=C1)C(=O)N=C(N2)CO,160.2090,133,Organic compounds,Organoheterocyclic compounds,Diazanaphthalenes,Benzodiazines,Quinazolines,Quinazoline alkaloids,Anthranilic acid alkaloids,Alkaloids
256,0.6082,73.9887,536.1907,462.2020,WUZAONONDREMBU,N-hydroxynotoamide I_130069,CC(C=C1)(C)OC2=C1C3=C(C=C2)C(C4=O)=C(C(C)(C)C(C5)[C@]64NC([C@@]75CCCN7C6=O)=O)N3O,436.2440,1009,,,,,,"Indole diketopiperazine alkaloids (L-Trp, L-Pro)",Peptide alkaloids,Alkaloids; Amino acids and Peptides
257,0.4645,25.0317,305.1860,280.1543,LNOOSYCKMKZOJB,Metolachlor OA,CCC1=C(N(C(C)COC)C(=O)C(O)=O)C(C)=CC=C1,372.9540,904,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids and derivatives,,,
258,0.5391,70.0414,302.1136,372.1550,MSKAFRMBWXTPHY,ISRADIPINE,CO/C(=C\1/C(C(=C(C)N=C1C)C(=O)OC(C)C)c2cccc3nonc23)/O,247.3940,372,,,,,,,,
259,0.5429,29.9678,1285.6088,1255.6410,RJURFGZVJUQBHK,Dactinomycin,C[C@@H]1[C@@H](C(=O)N[C@@H](C(=O)N2CCC[C@H]2C(=O)N(CC(=O)N([C@H](C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)N[C@H]6[C@H](OC(=O)[C@@H](N(C(=O)CN(C(=O)[C@@H]7CCCN7C(=O)[C@H](NC6=O)C(C)C)C)C)C(C)C)C)N)C,554.3290,1164,Organic compounds,Organic acids and derivatives,Peptidomimetics,Depsipeptides,Cyclic depsipeptides,Actinomycins,Oligopeptides,Amino acids and Peptides
260,0.6649,149.0464,460.1346,609.1810,LGOQXEQWOCSLEC,"7-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-5-hydroxy-2-(4-hydroxy-3-methoxyphenyl)chromen-4-one",COC1=C(O)C=CC(=C1)C2=CC(=O)C3=C(O)C=C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)C=C3O2,235.3580,312,,,,,,Flavones,Flavonoids,Shikimates and Phenylpropanoids
261,0.3529,108.0938,234.2062,342.3000,FDULXVPZJOHBDC,Val-C15:0,CCCCCCCCCCCCCCC(NC(C(O)=O)C(C)C)=O,308.2800,652,,,,,,N-acyl amines,Fatty amides,Fatty acids
262,0.5869,0.0003,168.0805,168.0808,UJOBWOGCFQCDNV,Carbazole,c1ccc2c(c1)c1ccccc1[nH]2,309.7010,661,,,,,,Carbazole alkaloids,Tryptophan alkaloids,Alkaloids
263,0.5869,0.0000,227.1179,227.1179,FJLBFSROUSIWMA,metyrapone,CC(C)(C(=O)c1cnccc1)c1cnccc1,359.2380,861,,,,,,Pyridine alkaloids,Nicotinic acid alkaloids,Alkaloids
264,0.4645,12.0016,300.1709,312.1725,YLPGTOIOYRQOHV,Pretilachlor,ClCC(=O)N(c1c(cccc1CC)CC)CCOCCC,249.0660,378,Organic compounds,Benzenoids,Benzene and substituted derivatives,Anilides,Anilides,,,
265,0.7513,0.0002,352.1997,352.1995,FJXPTCWXVYRNOJ,1-cyclopropyl-3-(3-{[(6-methylpyridin-2-yl)oxy]methyl}piperidin-1-yl)pyrrolidin-2-one,Cc1nc(OCC2CCCN(C3CCN(C4CC4)C3=O)C2)ccc1,346.5840,812,,,,,,Quinolizidine alkaloids,Lysine alkaloids,Alkaloids
266,0.4617,40.9218,421.2224,462.1442,JTWOMNBEOCYFNV,azlocillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,367.5310,882,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Penicillins,β-lactams,Amino acids and Peptides
267,0.5251,770.5690,933.4710,1704.0400,KBYZXUKIPLHREO,Samholide C/D,C[C@H]1C[C@H](C[C@@H](O1)CC[C@H](C)[C@@H]([C@H](C)[C@@H]2C[C@@H](C[C@@H]([C@@H]([C@H](C[C@@H]3CC=C[C@H](O3)C[C@H](C/C=C(ccC(O[C@@H](C[C@@H](C[C@@H]([C@@H]([C@H](C[C@@H]4CC=C[C@H](O4)C[C@H](C/C=C(/C=C/C(O2)=O)C)O[C@@H]5[C@H]([C@@H]([C@H](CO5)OC)OC)O)OC)C)O)O)[C@@H](C)[C@H]([C@@H](C)CC[C@H]6C[C@@H](C[C@@H](O6)C)OC)O)=O)\C)O[C@@H]7[C@H]([C@@H]([C@H](CO7)OC)OC)O)OC)C)O)O)O)OC,502.8320,1104,Organic compounds,Phenylpropanoids and polyketides,Macrolides and analogues,,Macrolides and analogues,Macrolide lactones,Macrolides,Polyketides
268,0.5397,74.8312,409.2919,484.1231,YSEXMKHXIOCEJA,Nicergoline,CN1CC(CC2(C1CC3=CN(C4=CC=CC2=C34)C)OC)COC(=O)C5=CC(=CN=C5)Br,674.9420,1245,Organic compounds,Organoheterocyclic compounds,Quinolines and derivatives,Indoloquinolines,Indoloquinolines,Ergot alkaloids,Tryptophan alkaloids,Alkaloids
269,0.5869,0.0001,251.1501,251.1500,XWOBNBRUDDUEEY,Leu-His,CC(C)C[C@@H](C(=O)N[C@@H](CC1=CN=CN1)C(=O)O)N,81.3350,87,,,,,,Dipeptides,Small peptides,Amino acids and Peptides
270,0.6649,118.0772,265.1178,383.1950,OQDYIJYNQXLBMK,N-methyl-10-methoxy-16-epi-pericyclivine N-oxide,C/C=C(C1)\[C@@H]2C[C@@]([N@@+]1([O-])[C@H]([C@H]2C(OC)=O)C3)([H])C4=C3C5=CC(OC)=CC=C5N4C,221.4240,258,,,,,,,,
271,0.6649,78.0685,420.1405,342.0720,YYZJHCHFUGRDDU,"""2-amino-6-(hydroxymethyl)-4-(2-nitrophenyl)-8-oxo-4H-pyrano[3,2-b]pyran-3-carb onitrile CollisionEnergy:102040""",N#CC1=C(N)Oc2c(oc(CO)cc2=O)C1c1ccccc1[N+](=O)[O-],232.1410,296,,,,,,Aminoacids,Small peptides,Amino acids and Peptides; Shikimates and Phenylpropanoids
272,0.9141,0.0004,371.3154,371.3150,SAOKZLXYCUGLFA,"Hexanedioic acid, bis(2-ethylhexyl) ester",CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,770.5050,1327,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,Wax diesters; Wax monoesters,Fatty esters,Fatty acids
273,0.5288,37.0318,411.1918,374.1600,YLCKQNHDIIGLSU,4-[[[2-(4-methyl-2-oxochromen-7-yl)oxyacetyl]amino]methyl]cyclohexane-1-carboxylic acid,Cc1cc(=O)oc2cc(OCC(=O)NC[C@H]3CC[C@@H](CC3)C(=O)O)ccc12,428.7840,998,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives,,Coumarins and derivatives,Simple coumarins,Coumarins,Shikimates and Phenylpropanoids
274,0.7068,0.0002,270.0852,270.0850,NWLXJVDJMARXSP,2-(aminocarbonylamino)-3-indol-3-ylpropanoic acid CollisionEnergy:205060,N=C(O)NC(Cc1c[nH]c2ccccc12)C(=O)O,252.5540,387,,,,,,Dipeptides,Small peptides,Amino acids and Peptides
275,0.9150,0.0012,146.0597,146.0609,PMZDQRJGMBOQBF,4-Hydroxyquinoline,C1=CC=C2C(=C1)C(=O)C=CN2,161.3730,141,Organic compounds,Organoheterocyclic compounds,Quinolines and derivatives,Quinolones and derivatives,Hydroquinolones,Quinazoline alkaloids; Quinoline alkaloids,Tryptophan alkaloids; Anthranilic acid alkaloids,Alkaloids
276,0.5919,0.0035,366.2145,366.2180,VEPRXSBWMULVMA,(E)-N-(2-(benzylamino)-2-oxo-1-(pyridin-3-yl)ethyl)-N-butylbut-2-enamide,C/C=C/C(=O)N(CCCC)C(C(=O)NCc1ccccc1)c2cccnc2,370.7340,901,,,,,,Pyridine alkaloids,Nicotinic acid alkaloids,Alkaloids
277,0.9148,0.0002,539.2982,539.2980,SRPHMISUTWFFKJ,"(1R,2R,3aS,3bS,8S,9aR,9bR,11aR)-1-[(2R,4E)-2,6-dihydroxy-6-methyl-3-oxohept-4-en-2-yl]-2,8-dihydroxy-3a,6,6,9b,11a-pentamethyl-1H,2H,3H,3aH,3bH,4H,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthrene-7,10-dione",CC(C)(/C=C/C([C@](C)([C@H]([C@H](C1)O)[C@](C)(C2)[C@@]1(C)[C@@H](CC=C([C@@H]1C[C@H]3O)C(C)(C)C3=O)[C@]1(C)C2=O)O)=O)O,725.2720,1301,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Cucurbitacins,Cucurbitacins,"Cucurbitane triterpenoids; Lanostane, Tirucallane and Euphane triterpenoids",Triterpenoids,Terpenoids
278,0.4369,37.9908,327.1681,365.1589,JSKXQQKSUOVSKS,"7,8-Dihydroxy calonectrin",CC1=CC2C(C(C1O)O)(C3(CC(C(C34CO4)O2)OC(=O)C)C)COC(=O)C,372.5250,900,,,,,,Trichothecane sesquiterpenoids,Sesquiterpenoids,Terpenoids
279,0.6644,161.0634,403.1976,564.2610,SQVRJYDIVLDZDD,,Cc1ccc(cc1)C2N3[C@@H](Cc4c2[nH]c5ccccc45)C(=O)N(C3=O)c6ccccc6C(=O)NCCN7CCOCC7,303.8310,632,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Pyridoindoles,Beta carbolines,Carboline alkaloids,Tryptophan alkaloids,Alkaloids
280,0.6649,179.1034,646.3036,825.4070,OGWKCGZFUXNPDA,Vincristine,C123[C@]4(N(CC1)CC=C[C@@]4(CC)[C@@H]([C@]([C@@]2(N(C5C3=CC(=C(C=5)OC)[C@@]6(C7NC8=CC=CC=C8C=7CC[N@]9C[C@](C[C@](C6)([H])C9)(O)CC)C(OC)=O)C=O)[H])(O)C(=O)OC)OC(=O)C)[H],559.3480,1178,,,,,,Aspidosperma type; Aspidosperma-Iboga hybrid type (Vinca alkaloids),Tryptophan alkaloids,Alkaloids
281,0.6076,56.0509,272.1031,328.1540,UZHSEJADLWPNLE,Naloxone HCl,C12([C@]34[C@@]5([C@@H](CC=1C=CC(=C2O[C@]3(C(CC5)=O)[H])O)N(CC4)CC=C)O),141.8810,111,Organic compounds,Benzenoids,Phenanthrenes and derivatives,,Phenanthrenes and derivatives,Isoquinoline alkaloids; Morphinan alkaloids,Tyrosine alkaloids,Alkaloids
283,0.4677,0.8413,429.3187,430.1600,GRMZCIPHHBSLFF,"(R)-4-isobutyl-N-(4-methoxyphenyl)-1,5-dioxo-1,2,3,3a,4,5-hexahydropyrrolo[1,2-a]quinazoline-3a-carboxamide",O=C1C=2C=CC=CC2N3C(=O)CCC3(C(=O)NC4=CC=C(OC)C=C4)N1CC(C)C,664.3170,1230,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acid amides,Benzodiazepine alkaloids,Anthranilic acid alkaloids,Alkaloids
284,0.9150,0.0000,245.1860,245.1860,LCPYQJIKPJDLLB,Leucyl-leucine; LC-tDDA; CE10,CC(C)C[C@H](N=C(O)[C@@H](N)CC(C)C)C(=O)O,197.7200,208,,,,,,Dipeptides,Small peptides,Amino acids and Peptides
285,0.7781,0.0001,148.0391,148.0390,HXACOUQIXZGNBF,4-PYRIDOXATE,CC1=NC=C(CO)C(C(O)=O)=C1O,185.2110,187,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,Pyridinecarboxylic acids,Pyridine alkaloids,Nicotinic acid alkaloids,Alkaloids
286,0.6611,130.0631,222.1124,352.1755,PLGBHVNNYDZWGZ,Senecionine N-oxide,C/C=C\1/C[C@H]([C@@](C(=O)OCC2=CC[N+]3([C@H]2[C@@H](CC3)OC1=O)[O-])(C)O)C,285.8860,539,Organic compounds,Alkaloids and derivatives,,,Alkaloids and derivatives,,,
287,0.5391,271.0339,193.0969,464.1308,VUJZPMJBDMCTIU,STK643950,COc1c(S(=O)(=O)NCCc2c[nH]c3ccccc23)cc(N2CCCCS2(=O)=O)cc1,372.9820,899,,,,,,Simple indole alkaloids,Tryptophan alkaloids,Alkaloids
288,0.7514,0.0008,334.1552,334.1560,FHFYDNQZQSQIAI,Pefloxacin mesylate,C1(=C(C=C2C(=C1)C(C(=CN2CC)C(=O)O)=O)N3CCN(CC3)C)F,324.3980,721,,,,,,Acridone alkaloids,Anthranilic acid alkaloids,Alkaloids
289,0.6122,58.0406,303.0974,361.1380,OYFHPBSUARUOQE,,CCO/C(=C\1/C(C(=C(C)N=C1C)C(=O)OC)c2cccc(c2)[N+](=O)[O-])/O,233.7370,302,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Hydropyridines,Dihydropyridinecarboxylic acids and derivatives,,,
290,0.6611,218.0379,279.1331,497.1710,BAUJIQPZQUOMNX,(2R)-3-(1H-indol-3-yl)-2-[2-(2-oxo-4-phenylchromen-7-yl)oxypropanoylamino]propanoic acid,CC(Oc1ccc2c(cc(=O)oc2c1)c3ccccc3)C(=O)N[C@H](Cc4c[nH]c5ccccc45)C(=O)O,216.6330,253,,,,,,,,Shikimates and Phenylpropanoids
291,0.7788,0.0005,152.0705,152.0710,YBPAYPRLUDCSEY,4-Hydroxyphenylacetamide CollisionEnergy:102040,N=C(O)Cc1ccc(O)cc1,118.7780,106,,,,,,,,Shikimates and Phenylpropanoids
292,0.4677,266.0603,291.0947,557.1550,MPYUTOYNCCRZAC,"""2',3',5'-Tri-O-benzoyluridine CollisionEnergy:102040""",O=C(OCC1OC(n2ccc(O)nc2=O)C(OC(=O)c2ccccc2)C1OC(=O)c1ccccc1)c1ccccc1,175.3680,163,,,,,,,,Shikimates and Phenylpropanoids
293,0.6611,13.9506,296.1006,282.1500,QQKAHDMMPBQDAC,N-nornuciferine,O(C=1C=C2C3=C(C1OC)C4=CC=CC=C4CC3NCC2)C,177.1520,171,Organic compounds,Alkaloids and derivatives,Aporphines,,Aporphines,Aporphine alkaloids; Isoquinoline alkaloids,Tyrosine alkaloids,Alkaloids
294,0.6611,202.1745,341.1835,543.3580,LXYFNICVBDMTSH,Trp-DCA,C[C@H](CCC(N[C@H](C(O)=O)CC1=CNC2=C1C=CC=C2)=O)[C@H]3CC[C@@]4([H])[C@]5([H])CC[C@]6([H])C[C@H](O)CC[C@]6(C)[C@H]5C[C@H](O)[C@@]43C,489.6860,1078,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives","Dihydroxy bile acids, alcohols and derivatives",Cholane steroids,Steroids,Terpenoids
295,0.5910,0.0041,481.3141,481.3100,LQGNCUXDDPRDJH,Ajugasterone C,O=C1C=C2C(C(O)CC3(C)C(CCC23O)C(O)(C)C(O)CCC(C)C)C4(C)CC(O)C(O)CC14,698.1330,1268,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives","Hydroxy bile acids, alcohols and derivatives",Ecdysteroids,Steroids,Terpenoids
296,0.4448,187.0582,417.2170,604.2752,OVMSOCFBDVBLFW,Baccatin III,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](O)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,367.5340,886,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Taxanes and derivatives,Taxane diterpenoids; Tetracyclic diterpenoids,Diterpenoids,Terpenoids
297,0.4372,154.0887,214.1073,368.1960,VNFFERABYLYUPG,N-ethyl-N-(2-(N-(2-formamidoethyl)benzamido)ethyl)benzamide,O=CNCCN(C(C1=CC=CC=C1)=O)CC[NH+](C(C2=CC=CC=C2)=O)CC,241.4420,318,,,,,,,,
298,0.9170,0.0000,205.1950,205.1950,FQTLCLSUCSAZDY,(.+/-.)-trans-Nerolidol,CC(=CCC/C(=C/CCC(C)(C=C)O)/C)C,565.0260,1184,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,Sesquiterpenoids,Acyclic monoterpenoids; Farnesane sesquiterpenoids,Sesquiterpenoids; Monoterpenoids,Terpenoids
299,0.5251,73.0209,304.1291,377.1500,IDYLZBMYUOISRS,"3-(3,5-dimethyl-7-oxofuro[3,2-g]chromen-6-yl)-N-(pyridin-2-ylmethyl)propanamide""",Cc1coc2cc3oc(=O)c(CCC(=O)NCc4ccccn4)c(C)c3cc12,249.3730,375,,,,,,Furocoumarins; Simple coumarins,Coumarins,Shikimates and Phenylpropanoids
300,0.4677,482.3383,325.1517,807.4900,RWXIFXNRCLMQCD,Ginsenoside Rg3,OCC1OC(OC2C(O)C(O)C(OC2OC3CCC4(C)C(CCC5(C)C4CC(O)C6C(CCC65C)C(O)(C)CCC=C(C)C)C3(C)C)CO)C(O)C(O)C1O,344.5700,797,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Terpene glycosides,Triterpene saponins,Dammarane and Protostane triterpenoids,Triterpenoids,Terpenoids
302,0.6611,150.0234,312.0956,462.1190,PVGPPKLRMJFGPD,N-(3-chloro-4-methoxyphenyl)-2-[2-oxo-4-(pyrrolidinylcarbonyl)hydroquinolyl]ac etamide CollisionEnergy:102040,COc1ccc(N=C(O)Cn2c(=O)cc(C(=O)N3CCCC3)c3ccccc32)cc1Cl,142.1940,112,Organic compounds,Organoheterocyclic compounds,Quinolines and derivatives,Quinoline carboxamides,Quinoline carboxamides,,Tryptophan alkaloids,Alkaloids
303,0.7513,0.0002,364.1522,364.1520,QELDJEKNFOQJOY,Isocorydine CollisionEnergy:102040,COc1ccc2c(c1O)-c1c(OC)c(OC)cc3c1C(C2)N(C)CC3,358.8300,855,Organic compounds,Alkaloids and derivatives,Aporphines,,Aporphines,Aporphine alkaloids; Isoquinoline alkaloids,Tyrosine alkaloids,Alkaloids
304,0.4369,177.9829,263.1391,441.1220,KHMHKCOWJSAGRF,,Cc1cc(=O)oc2cc(OCC(=O)N3C[C@H]4C[C@@H](C3)c5cccc(=O)n5C4)c(Cl)cc12,290.1100,564,Organic compounds,Alkaloids and derivatives,Lupin alkaloids,Cytisine and derivatives,Cytisine and derivatives,Simple coumarins,Coumarins,Shikimates and Phenylpropanoids
305,0.5919,0.0027,374.1473,374.1500,RUHJUWCZUGMHRS,"1-isopropyl-4-(2-methoxyphenyl)-1H-benzofuro[3,2-b]pyrazolo[4,3-e]pyridin-7-ol",OC=1C=CC2=C(OC3=C2N=C4C(C=NN4C(C)C)=C3C=5C=CC=CC5OC)C1,410.9270,978,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Phenylpyridines,Phenylpyridines,,,Shikimates and Phenylpropanoids
306,0.2846,138.0093,173.0707,311.0800,ZZORFUFYDOWNEF,Sulfadimethoxine,COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)OC,182.0740,179,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides,Aminobenzenesulfonamides,,,Alkaloids
307,0.7577,0.0000,434.2190,434.2190,RTGDFNSFWBGLEC,MycophenolateMofetil,CC1=C2COC(=O)C2=C(C(=C1OC)C/C=C(\C)/CCC(=O)OCCN3CCOCC3)O,249.8250,380,Organic compounds,Organoheterocyclic compounds,Isocoumarans,Isobenzofuranones,Phthalides,Phthalide derivatives,Cyclic polyketides,Polyketides
308,0.4443,168.0348,287.1141,455.1489,CUIZSIJMLPQKRE,Marchantin G 3,C1CC2=C(C(=CC=C2)O)OC3=CC=CC(=C3)CC(=O)C4=CC(=C(C(=C4)O)O)OC5=CC=C1C=C5,173.4610,161,Organic compounds,"Lignans, neolignans and related compounds",,,"Lignans, neolignans and related compounds",,,Shikimates and Phenylpropanoids
309,0.7781,0.0003,203.1793,203.1790,BUPJOLXWQXEJSQ,"1-methyl-4-methylidene-7-(propan-2-yl)-1,2,3,3a,4,5,6,8a-octahydroazulen-1-ol",CC(C)C(CCC(C1CC2)=C)=CC1C2(C)O,375.0160,909,,,,,,Guaiane sesquiterpenoids,Sesquiterpenoids,Terpenoids
310,0.6241,880.4697,111.0203,991.4900,YFGQJKBUXPKSAW,"(2R,4S)-6-(((2R,4S)-4-hydroxy-6-(((2R,4S,6R)-4-hydroxy-6-(((10S,13R)-14-hydroxy-10,13-dimethyl-17-(5-oxo-2,5-dihydrofuran-3-yl)hexadecahydro-1H-cyclopenta[a]phenanthren-3-yl)oxy)-2-methyltetrahydro-2H-pyran-3-yl)oxy)-2-methyltetrahydro-2H-pyran-3-yl)o...",O=C1OCC(=C1)C2CCC3(O)C4CCC5CC(OC6OC(C)C(OC7OC(C)C(OC8OC(C)C(OC9OC(CO)C(O)C(O)C9O)C(OC(=O)C)C8)C(O)C7)C(O)C6)CCC5(C)C4CCC23C,707.5540,1283,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroid lactones,Cardenolide glycosides and derivatives,Cardenolides,Steroids,Terpenoids
311,0.6204,33.9484,308.1236,342.0720,YYZJHCHFUGRDDU,"""2-amino-6-(hydroxymethyl)-4-(2-nitrophenyl)-8-oxo-4H-pyrano[3,2-b]pyran-3-carb onitrile CollisionEnergy:102040""",N#CC1=C(N)Oc2c(oc(CO)cc2=O)C1c1ccccc1[N+](=O)[O-],208.7840,223,,,,,,Aminoacids,Small peptides,Amino acids and Peptides; Shikimates and Phenylpropanoids
